id,type,prob_Ia
1550224122215010001,RRLyr,0.265
1524233634915010001,Mira,0.333
1391392854015015009,YSO,0.412
1348422156115010028,EB*,0.355
1287260631615010000,RRLyr,0.555
1372401792315015006,EB*,0.208
1361350182415015002,RRLyr,0.427
1364358666215015005,Ia,0.789
1397117043715010003,Mira,0.708
1396396270615015007,LPV*,0.333
1360218403315010000,QSO,0.382
1400145460015015012,RRLyr,0.302
1365238425415010014,TTau*,0.54
1146153172115015012,Ia,0.671
1398383580415010042,EB*WUMa,0.28
1290465416215015030,Mira,0.337
1389178914715010021,Star,0.417
1536423405715010005,QSO,0.571
1360469735415010007,CataclyV*,0.292
1425373020315010004,EB*,0.361
1423390150315015027,EB*,0.525
1342315185215010012,RRLyr,0.265
1428098075615010007,Star,0.38
1344348244315010011,Em*,0.617
1343349902015010011,EB*,0.421
1336440372415010000,SNII,0.671
1380452813615015002,Star,0.692
1425425232615015007,Star,0.343
1425395254315010023,RRLyr,0.327
1423537065215010003,QSO,0.507
1478483561215015005,Ia,0.725
1296491084015015004,Star,0.704
1341195605815015014,RRLyr,0.139
1542240943115010006,RRLyr,0.256
1411152394215015014,RRLyr,0.261
1521421460915015003,RRLyr,0.262
1302266722815010000,QSO,0.5
1342354453015010002,RRLyr,0.271
1524189802115010027,C*,0.451
1361434340115010046,EB*WUMa,0.459
1305451714015010015,EB*,0.516
1401173414015010005,EB*,0.282
1160346684615010007,SNI,0.805
1382328331615015015,RRLyr,0.371
1299384806215010035,Star,0.353
1360348873915015007,Mira,0.308
1360315005815010004,RRLyr,0.187
1451391484515015016,Ia,0.719
1371225571615015008,RRLyr,0.46
1306465462715010013,QSO,0.461
1390415542315010021,RRLyr,0.287
1360528575915015015,Star,0.474
1537516034815015025,LPV*,0.279
1423113723215010017,RRLyr,0.49
1390330620015010000,QSO,0.692
1514484123615010000,SNII,0.359
1301402881815010034,QSO,0.728
1519172502715015003,SNIIn,0.364
1285213701715010000,QSO,0.489
1403416086015010000,EB*,0.276
1540227442015010006,EB*,0.196
1521149733715015010,Star,0.492
1339368774515015007,EB*,0.562
1413133126015010029,Star,0.652
1524399423215015006,RRLyr,0.281
1542373693215010000,Ia,0.646
1302412714515010007,C*,0.441
1307162884015015003,QSO,0.747
1396190825315010004,RRLyr,0.229
1526257164715010020,RRLyr,0.183
1396152754515015008,Star,0.288
1373379435415010001,RRLyr,0.23
1344343533515010005,EB*,0.717
1299322936015010004,QSO,0.569
1292405982415015019,Star,0.429
1300435634215010007,QSO,0.411
1357366992515015001,QSO,0.799
1363273316315010003,RRLyr,0.27
1384345720715010016,EB*,0.379
1427532332715015003,Ia,0.6
1421307834715015010,LPV*,0.26
1389478546015015017,AGN,0.483
1362284361215010004,LPV*,0.303
1291250001315010000,QSO,0.494
1296376675815010020,RRLyr,0.501
1307332475115015008,Ia,0.627
1541481145015015010,RRLyr,0.224
1542207560615010029,EB*,0.324
1434142855415010013,CV,0.212
1051079891115015264,Ia,0.544
1410128005915010001,RRLyr,0.271
1538168885515010018,deltaCep,0.288
1280365562215010007,LPV*,0.333
1213352482015010024,Ia,0.634
1382189475315015001,RRLyr,0.293
1398455245615010000,EB*,0.312
1384295622615015009,BLLac,0.453
1521486560315015005,Mira,0.357
1299412731815010006,LPV*,0.58
1357368390815010026,QSO,0.458
1400196402415010012,RRLyr,0.209
1404351114015015003,EB*,0.628
1298425822515010007,EB*,0.334
1413252955315010002,RRLyr,0.325
1362528025415015009,Mira,0.352
1428100631115015004,Star,0.485
1278236480515015004,QSO,0.376
1404365742615010004,EB*,0.131
1542250332915015003,RRLyr,0.177
1537196033515010020,C*,0.627
1424160655815010005,RRLyr,0.24
1386178531515015002,RRLyr,0.312
1401228272415010006,EB*,0.103
1426447974015010014,EB*,0.115
1541482551415015002,RRLyr,0.454
1364204011315015008,Ia,0.664
1387362470715010015,DwarfNova,0.324
1398120472415010003,RRLyr,0.24
1361364034915015004,Ia,0.673
1336356775215015001,Ia,0.815
1299359882815010060,Star,0.382
1375244061815010018,RRLyr,0.651
1410307011015010017,EB*,0.519
1345333213215015018,RRLyr,0.244
1387381032815010043,EB*,0.653
1371406043915010008,LPV*,0.289
1385441750815010076,Mira,0.511
1527314590515015006,RRLyr,0.235
1288331213515015000,Star,0.568
1292220373415015012,QSO,0.524
1151302372115015001,Ia,0.435
1359262883915015030,YSO,0.565
1301416935315015010,QSO,0.641
1295305170715010008,QSO,0.563
1404368261115010006,TTau*,0.184
1550413550715015000,RRLyr,0.25
1404124513115010007,DwarfNova,0.32
1422417103915015003,Star,0.17
1292386644115010000,EB*,0.483
1281214671415015001,RRLyr,0.285
1380176150015015026,Mira,0.378
1427134225215010001,SNIIn,0.266
1301357142515010007,RRLyr,0.49
1359426244415010004,EB*,0.567
1293284870215010024,RRLyr,0.305
1296330972415010027,QSO,0.742
1413135506315010051,Star,0.199
1404221000315010023,Star,0.477
1358304606315010005,BLLac,0.643
1380323681415015010,Star,0.415
1355406070915010009,RRLyr,0.411
1536342973115010003,QSO,0.407
1522286665015015006,RRLyr,0.459
1396463375315010005,TTau*,0.185
1341420433915015008,V*,0.273
1522189312815015014,TTau*,0.121
1302286564615015011,Star,0.664
1520254221315010021,Star,0.593
1518409722815015035,Ia,0.493
1160447481015010005,SNIIP,0.529
1362264466115015016,RRLyr,0.458
1399477444815015010,Ia,0.778
1366231450115010027,LPV*,0.314
1409506085615015004,Star,0.315
1538172693215010001,EB*,0.44
1302279270415010000,Ia,0.224
1343354594315010005,EB*,0.254
1341331575615015012,V*,0.498
1363285260315010005,RRLyr,0.475
1361215253715015007,EB*,0.177
1549213571715015000,EB*,0.19
1365373020215010003,EB*,0.426
1547504571415010015,RRLyr,0.593
1537378260015015007,RRLyr,0.302
1412403543615015000,DwarfNova,0.256
1343336920715015014,Mira,0.378
1411148652915010017,EB*,0.283
1541510174615015003,Star,0.44
1342314711815015002,EB*,0.535
1337261192515010000,SNIIb,0.623
1344161793815015005,BLLac,0.189
1298415971215015001,LPV*,0.339
1360514864215015002,LPV*,0.27
1380383475715010008,EB*WUMa,0.5
1327232786315015000,Ia,0.659
1355326282515010023,QSO,0.371
1401162393115015006,RRLyr,0.26
1158404583715015006,Ia,0.732
1363415655715015009,EB*,0.573
1373306072315015001,QSO,0.295
1292226002215015054,RRLyr,0.503
1352403114615010007,QSO,0.375
1280374156115015005,Star,0.265
1414433583115015009,EB*,0.175
1391129471915015023,RRLyr,0.287
1342310431815015006,Nova,0.185
1361244501715010037,RRLyr,0.277
1397485694815015017,Ia,0.549
1360195640315010019,LPV*,0.281
1425113775715015009,QSO,0.248
1060232871715010009,Ia,0.565
1302338350515015008,LPV*,0.291
1395385055515010025,RRLyr,0.319
1421455914215010000,RRLyr,0.441
1422489164015010049,EB*,0.668
1298492831215010009,RRLyr,0.186
1416527590515015014,QSO,0.415
1245296163615015015,SNII,0.753
1414163556015015001,RRLyr,0.53
1357217972815010002,RRLyr,0.428
1360478680815015009,EB*,0.297
1404218174515015001,EB*,0.245
1413148860615015001,RRLyr,0.439
1363432430815010123,RRLyr,0.245
1343403722915010009,Star,0.215
1421523433715010000,RRLyr,0.255
1414437334815010001,EB*,0.149
1345330870615015015,RRLyr,0.234
1284340611815015031,Star,0.455
1397130350015010024,RRLyr,0.26
1419082755715025029,Star,0.332
1424102663115010026,DwarfNova,0.23
1293274574315015002,Star,0.454
1282386316015015008,LPV*,0.32
1290214646215010002,RRLyr,0.315
1417139985115010029,RRLyr,0.19
1341401565715015006,C*,0.476
1353425715115015021,EB*,0.624
1524147451415010036,EB*,0.362
1289224673515015004,RRLyr,0.324
1381453571715010012,RRLyr,0.239
1418229233415015004,RRLyr,0.523
1538439222515010002,RRLyr,0.24
1425136294615015015,RRLyr,0.458
1352407904415015001,RRLyr,0.288
1516144184015015000,Ia,0.698
1305394153815015023,Star,0.555
1360184314615010016,Star,0.706
1478347110015010013,Ia,0.594
1400137831915015011,Star,0.476
1283445164715015025,Star,0.282
1295194975515010004,RRLyr,0.477
1538274014415015013,QSO,0.596
1214452403315015009,Ia,0.424
1352394471315010001,EB*,0.53
1410240763515015013,RRLyr,0.241
1371276495215015007,EB*,0.179
1295448324615015018,YSO,0.661
1427073630015010018,Orion_V*,0.306
1416175320515010003,EB*,0.339
1287222874215015024,EB*,0.139
1294408250215010007,EB*,0.363
1293213401915010011,RRLyr,0.288
1415287466215010010,RRLyr,0.522
1284470942215010015,Star,0.658
1371257472115015010,RRLyr,0.25
1389150871515015020,Star,0.552
1285202682515010024,QSO,0.341
1352405021315015006,EB*,0.232
1521487032915015006,Mira,0.435
1306441463315010001,QSO,0.508
1299349644815010002,QSO,0.592
1411476195415015004,QSO,0.499
1410284225715015002,EB*,0.477
1399131935215015004,Star,0.565
1294275970015010023,Star,0.629
1413113130415010009,RRLyr,0.304
1376426110615010004,RRLyr,0.442
1549211705615015001,LPV*,0.248
1289271631915010018,RRLyr,0.597
1417344746115010001,CataclyV*,0.283
1371238945215010000,Star,0.662
1425114235215015008,Mira,0.358
1411075811815010014,EB*,0.341
1428141923715010004,QSO,0.409
1526166592615015002,EB*,0.321
1421148735315015026,Star,0.185
1416297294715015007,C*,0.457
1278367854015010000,RRLyr,0.482
1077101441715010011,Ia,0.432
1342343613915015001,DwarfNova,0.676
1519301524015010002,SN,0.337
1401365486015015019,EB*,0.358
1403322744515010004,RRLyr,0.285
1359435375315010002,LPV*,0.455
1536184151315015007,Star,0.25
1237430006215015007,CV,0.326
1295414783715010002,DwarfNova,0.266
1284238702915015006,EB*,0.225
1384221754515010020,LPV*,0.489
1524294970915015013,QSO,0.383
1364521654615015006,Star,0.516
1292213683815015002,QSO,0.416
1382385943615010010,DwarfNova,0.233
1423529683015015030,QSO,0.525
1244275172315015009,SNIIn,0.691
1352229531015015013,RRLyr,0.232
1425335563115010025,DwarfNova,0.657
1477484444615015009,SNII,0.617
1295450240815010023,RRLyr,0.242
1421111186015015000,LPV*,0.244
1404117600715015018,Mira,0.295
1385090063315010029,RRLyr,0.16
1526449733215010000,RRLyr,0.254
1524182171815010000,RRLyr,0.351
1295308940815010020,RRLyr,0.359
1549282973715015002,SLSN-II,0.453
1413164475815010001,RRLyr,0.488
1404099233915010014,RRLyr,0.338
1381102875015015008,V*,0.36
1524214234815015015,RotV*,0.482
1410140573615015010,AGN,0.634
1413200354715010081,Star,0.51
1305411601515015016,RRLyr,0.263
1295446920015015036,Star,0.35
1356323791015015014,BLLac,0.465
1401190262915015003,RRLyr,0.19
1293245323015015007,QSO,0.579
1244352622415015010,AGN,0.508
1284356201115015038,RRLyr,0.658
1361275645415010015,Star,0.521
1427507225815015002,Ia,0.6
1520355674615015001,EB*,0.15
1417088941415010001,RRLyr,0.499
1550204276215015006,EB*,0.207
1399234882815015004,EB*,0.164
1542280352615010004,QSO,0.426
1343346604815010004,Star,0.413
1410322544615015035,EB*,0.296
1365217250715010008,RRLyr,0.281
1398124276315015010,RRLyr,0.428
1343431294715010017,C*,0.434
1345381192115010022,Star,0.275
1280244521215010001,RRLyr,0.228
1307229580615010016,RRLyr,0.193
1395381755715015001,EB*,0.558
1423391553815015023,EB*,0.312
1299317164415015007,RRLyr,0.608
1150251752815015008,CV,0.338
1543352486115015007,RRLyr,0.249
1395244011515015000,Star,0.322
1356444492115010226,RRLyr,0.633
1382299614315010003,QSO,0.491
1423095754215015016,Star,0.441
1361285842915015006,RRLyr,0.341
1521509351615010002,RRLyr,0.518
1403135774015010002,SNII,0.381
1415144593915015012,Mira,0.301
1402482854215010020,Star,0.243
1382247454215015011,EB*,0.313
1339470482315010004,EB*,0.519
1417397712515010023,RRLyr,0.331
1384235615515010011,RRLyr,0.345
1301353693715010016,LPV*,0.282
1422458705815015025,LPV*,0.366
1380203665815015012,EB*,0.236
1341185792315010002,RRLyr,0.246
1042102502615015007,Ia,0.654
1297369976215010022,Star,0.274
1294275971815015000,Mira,0.72
1302418126115010009,RRLyr,0.453
1427471564315015002,EB*,0.232
1391422995415015061,EB*,0.546
1424114421315015005,LPV*,0.288
1154553572415015009,SNII,0.618
1356352653415010009,RRLyr,0.721
1290318140715010000,RRLyr,0.288
1339392984415015001,EB*,0.258
1524237474915010000,QSO,0.522
1365466554215015009,C*,0.52
1359392025915015011,EB*,0.337
1403467912015010013,RRLyr,0.209
1422422816015015016,EB*,0.234
1360310131115015007,RRLyr,0.299
1357240935915015001,QSO,0.426
1522431866115015002,QSO,0.469
1415493062515015005,TDE,0.61
1395358044415015001,RRLyr,0.171
1341296714115010002,EB*,0.196
1297169490015010012,QSO,0.606
1422491500415010001,QSO,0.73
1278324132815010005,CataclyV*,0.734
1543346151515015006,RRLyr,0.26
1428118340515015008,Ia,0.654
1544437474315010005,Mira,0.345
1377192360515010044,RRLyr,0.199
1371195012515015000,RRLyr,0.333
1352379521315015039,RRLyr,0.289
1358330944315010013,QSO,0.431
1524193093015010034,deltaCep,0.239
1539281576215015000,QSO,0.371
1549149341415010132,Star,0.338
1419447874715025017,V*,0.218
1526281713515010005,QSO,0.35
1293329011015010057,RRLyr,0.36
1356313872815010022,LPV*,0.434
1413207016215015004,QSO,0.431
1411191030415010004,EB*,0.464
1296371771515015007,RRLyr,0.286
1413408244815010015,EB*,0.397
1414260261015010067,Mira,0.413
1405470044615015006,EB*,0.174
1284292005015010025,EB*,0.238
1413474944615010027,EB*,0.276
1361360570315010017,EB*,0.329
1381123686115010001,Star,0.409
1525145023815015012,C*,0.447
1302272664215010010,RRLyr,0.384
1384308491415010006,EB*,0.241
1526235462215010030,QSO,0.339
1425158395215015034,Em*,0.448
1284266575515015003,RRLyr,0.65
1396178513715010000,RRLyr,0.199
1415321793715015003,Ia,0.727
1287213325415010000,QSO,0.486
1353275401315010007,RRLyr,0.195
1381109952515010007,BLLac,0.492
1303351685615010022,Star,0.596
1343410782315015005,EB*Algol,0.26
1288321522015010000,AMHer,0.596
1418248312515015011,QSO,0.551
1372374023915010000,EB*Algol,0.23
1387425911015010072,EB*,0.627
1293451874715015025,QSO,0.426
1279323061015015002,RRLyr,0.506
1373178965115010003,Em*,0.286
