id,type,prob_Ia
1386268534215015001,EB*,0.612
1278391680215010006,EB*,0.671
1385470404015015010,YSO,0.721
1537370045515010000,QSO,0.732
1294446341715010000,V*,0.39
1290316720015010029,RRLyr,0.295
1427135170615010017,Mira,0.498
1307282462915010005,Ia,0.755
1525145482915015000,Star,0.519
1365222430615015002,Ia,0.732
1359392023915010048,RRLyr,0.509
1522304762715010001,QSO,0.793
1287279803215010004,EB*WUMa,0.285
1396147601915010004,RRLyr,0.692
1277318466315010003,RRLyr,0.608
1427071205715010009,Star,0.566
1306388801515010021,Star,0.626
1527260370815010000,QSO,0.348
1413131240715015010,RRLyr,0.559
1422348502915010018,EB*,0.78
1283270024815010001,EB*,0.668
1285204123915015016,EB*,0.628
1521172580315015002,EB*,0.756
1345321870615015005,C*,0.296
1052221973415010009,Ia,0.591
1279216883315010003,RRLyr,0.419
1297407113715015007,Star,0.432
1294489424315015004,RRLyr,0.84
1352297470415015010,RRLyr,0.665
1149539520015015000,Ia,0.786
1286228874515015008,QSO,0.294
1479276452115015047,Ia,0.888
1281221621915015000,QSO,0.668
1279320651015010029,RRLyr,0.817
1401087171415010013,Star,0.253
1415497774915010002,RSCVn,0.774
1524508370515015003,QSO,0.762
1299308075115010003,QSO,0.413
1518442845315015002,Ia,0.685
1295410055415015002,Star,0.804
1383089723815015005,Mira,0.366
1158246554315015006,Ia,0.908
1422434521115015004,SNII,0.526
1290322581615010012,RRLyr,0.473
1297362296215010002,RRLyr,0.249
1360484654915015037,EB*,0.384
1520155275115015001,EB*,0.831
1299351551715010005,RRLyr,0.436
1300337815315010028,Erupt*RCrB,0.232
1521259570115015020,C*,0.158
1386277930215010008,RRLyr,0.784
1399101284815015005,V*,0.248
1355382364215015005,RedSG*,0.252
1422533073915010004,SNII,0.765
1413475405715010020,Star,0.538
1425437280715015004,Mira,0.163
1520259943215010005,RRLyr,0.78
1410301821715015010,YSO,0.822
1293443534515010012,CataclyV*,0.632
1214391966215015023,Ia,0.811
1424104090215015002,Mira,0.202
1307365873715010001,QSO,0.663
1359411880015010004,EB*,0.74
1399162513015010007,RRLyr,0.658
1356460653715010001,EB*,0.711
1282287515715015002,RRLyr,0.806
1387422603815010004,EB*,0.881
1280226093315015006,RRLyr,0.711
1214448652515010004,SNIIb,0.81
1291289070615015001,EB*,0.798
