"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"150479","SN 2024hjx","16:04:57.863","+14:44:47.68","SN Ia","0.074","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS; GOTO; ZTF","ZTF24aakykbz","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5275","g-ZTF","2024-04-23 09:14:15.999","Fritz","","2024TNSTR1249....1S","2024TNSCR1372....1F",""
"150473","SN 2024hjr","19:25:48.672","+41:18:03.60","SN Ia","0.073","","","ZTF, GOTO, Fink, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS; Fink; GOTO; ZTF","ZTF24aakzgnd","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.3593","g-ZTF","2024-04-28 10:42:14.996","Fritz","","2024TNSTR1249....1S","2024TNSCR1421....1F",""
"150466","SN 2024hjk","21:53:48.183","+29:51:48.69","SN Ia","0.073","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aakprsy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.5884","g-ZTF","2024-04-28 10:50:32.003","Fritz","","2024TNSTR1250....1H","2024TNSCR1451....1Q",""
"150338","SN 2024hfe","15:49:31.427","+19:58:10.18","SN Ia","0.102","","","ZTF","ZTF","ZTF","ZTF","ZTF24aakrsww","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8454","g-ZTF","2024-04-21 08:41:39.998","Fritz","","2024TNSTR1211....1S","2024TNSCR1476....1F",""
"150267","SN 2024hcl","18:24:03.777","+05:20:20.35","SN Ia","0.037","","","ZTF, Fink","ZTF","ZTF","Fink; ZTF","ZTF24aakajby","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.143","r-ZTF","2024-04-17 09:09:31.000","Fritz","","2024TNSTR1194....1S","2024TNSCR1390....1F",""
"150265","SN 2024hcj","17:52:07.600","+28:53:54.31","SN Ia","0.021652","","","ZTF, GOTO, Pan-STARRS, GaiaAlerts","ZTF, GOTO, Pan-STARRS, GaiaAlerts","ZTF","GaiaAlerts; GOTO; Pan-STARRS; ZTF","ZTF24aakskvp","Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.425","g-ZTF","2024-04-21 10:39:39.000","Fritz","","2024TNSTR1195....1S","2024TNSCR1253....1F",""
"150263","SN 2024hch","14:42:01.699","+32:55:18.72","SN Ia","0.087442","","","ZTF, ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF24aakrqzs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4882","g-ZTF","2024-04-21 08:19:58.995","Fritz","","2024TNSTR1195....1S","2024TNSCR1620....1J",""
"150255","SN 2024hbz","12:00:41.513","+03:32:56.57","SN Ia","0.08522","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19adhbtsn","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.602","g-ZTF","2024-04-16 07:06:06.001","Fritz","","2024TNSTR1197....1H","2024TNSCR1309....1F",""
"150162","SN 2024gyr","11:09:11.533","+53:21:42.89","SN Ia","0.026804","","","ZTF, YSE","ZTF, Pan-STARRS","ZTF","Pan-STARRS; YSE; ZTF","ZTF24aakfgvg","P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.4604","g-ZTF","2024-04-20 06:51:35.712","ZTF_CLU_PUBLIC","","2024TNSTR1151....1D","2024TNSCR1468....1J",""
"150160","SN 2024gyp","19:25:32.728","+31:45:53.93","SN Ia","0.063","","","ZTF","ZTF","ZTF","ZTF","ZTF24aajxpmq","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.9701","r-ZTF","2024-04-20 09:41:41.003","Fritz","","2024TNSTR1149....1W","2024TNSCR1338....1F",""
"150138","SN 2024gxt","14:03:07.158","+29:34:48.52","SN Ia","0.064065","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aakocjx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8354","r-ZTF","2024-04-19 06:08:10.000","Fritz","","2024TNSTR1150....1S","2024TNSCR1338....1F",""
"150104","SN 2024gwq","09:02:14.957","+46:24:56.73","SN Ia","0.027185","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aaknuqh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.4306","g-ZTF","2024-04-20 05:22:28.001","Fritz","","2024TNSTR1150....1S","2024TNSCR1171....1F",""
"150061","SN 2024gvd","16:24:57.458","+53:32:33.85","SN II","0.067","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aakghyl","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","20.3631","g-ZTF","2024-04-16 11:15:24.001","Fritz","","2024TNSTR1139....1W","2024TNSCR1785....1Q",""
